# d=00
0 1 2 3 4 5 6 7 8

# d=01
3 1 2 0 4 5 6 7 8

# d=02
3 1 2 4 0 5 6 7 8

# d=03
3 1 2 4 5 0 6 7 8

# d=04
3 1 2 6 4 5 7 8 0

# d=05
1 4 2 6 3 5 7 0 8

# d=06
4 3 2 6 1 5 0 7 8

# d=07
4 3 2 1 5 0 6 7 8

# d=08
1 4 2 3 8 7 6 5 0

# d=09
2 0 5 1 7 4 3 6 8

# d=10
3 1 2 7 6 4 8 5 0

# d=11
5 0 1 3 7 2 4 6 8

# d=12
1 2 4 3 0 6 7 8 5

# d=13
3 4 1 7 2 0 8 6 5

# d=14
4 2 8 1 0 7 3 5 6

# d=15
2 3 5 4 6 8 1 0 7

# d=16
0 3 2 6 1 5 8 7 4

# d=17
3 0 5 6 2 7 1 8 4

# d=18
0 6 2 5 1 8 7 3 4

# d=19
1 4 3 6 5 0 2 7 8

# d=20
4 6 7 1 0 2 5 3 8

# d=21
8 3 1 0 2 5 6 7 4

# d=22
0 2 8 4 3 6 7 1 5

# d=23
3 8 2 1 6 7 5 0 4

# d=24
5 4 0 6 1 8 7 3 2

# d=25
6 4 7 8 5 0 3 2 1

# d=26
7 2 4 5 0 6 8 3 1

# d=27
8 6 7 2 5 4 3 0 1

# d=28
8 7 6 5 4 3 2 1 0

# d=29
2 3 6 5 7 0 4 1 8

# d=30
6 7 8 3 4 5 0 2 1

# d=31 hardest 3x3
8 0 6 5 4 7 2 3 1
8 7 6 0 4 1 2 5 3
