# d=0
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15

# d=1
4 1 2 3 0 5 6 7 8 9 10 11 12 13 14 15

# d=2
4 1 2 3 8 5 6 7 0 9 10 11 12 13 14 15

# d=3
1 5 2 3 4 9 6 7 8 0 10 11 12 13 14 15

# d=4
1 2 6 3 4 5 10 7 8 9 0 11 12 13 14 15

# d=5
1 2 3 7 4 5 0 6 8 9 10 11 12 13 14 15

# d=6
4 1 2 3 5 9 6 7 8 13 0 11 12 14 10 15

# d=7
1 2 3 7 4 5 0 11 8 9 6 10 12 13 14 15

# d=8
1 5 0 2 4 9 7 3 8 10 6 11 12 13 14 15

# d=9
1 2 3 7 4 5 6 11 8 9 10 15 0 12 13 14

# d=10
1 5 2 3 9 8 6 7 0 13 10 11 4 12 14 15

# d=11
1 5 10 2 4 6 0 3 8 9 14 7 12 13 15 11

# d=12
4 5 1 2 8 0 6 3 9 13 10 7 12 14 15 11

# d=13
4 1 2 3 5 6 10 7 9 0 15 14 8 12 13 11

# d=14
1 2 3 7 4 9 6 0 12 10 5 11 13 8 14 15

# d=15
1 0 7 2 4 5 6 10 8 9 14 3 12 13 15 11

# d=16
4 1 7 2 8 13 5 3 9 6 0 10 12 14 15 11

# d=17
1 2 7 6 4 9 5 3 8 13 15 10 0 12 14 11

# d=18
6 1 2 3 4 0 10 7 8 5 9 15 12 13 11 14

# d=19
1 2 3 7 4 5 0 10 8 6 11 15 12 14 9 13

# d=20
5 2 0 3 1 4 11 15 8 6 7 14 12 9 13 10

# d=21
1 2 3 7 4 5 6 11 12 8 14 10 0 15 9 13

# d=22
4 2 3 7 1 0 10 11 5 6 14 9 13 8 12 15

# d=23
9 1 4 6 5 7 0 3 8 2 10 11 12 13 14 15

# d=24
4 1 0 3 5 9 2 6 13 8 12 10 14 15 11 7

# d=25
9 1 5 3 0 8 2 6 12 4 10 7 13 15 11 14

# d=26
1 13 5 2 9 0 4 3 8 14 7 11 12 10 6 15

# d=27
1 5 8 6 7 2 10 3 12 9 4 11 0 13 14 15

# d=28
4 1 3 2 10 0 6 5 8 13 15 7 9 12 11 14

# d=29
5 6 3 7 1 14 10 2 4 12 9 11 0 13 8 15

# d=30
6 3 7 11 5 1 10 0 2 13 9 15 4 8 12 14

# d=31
4 2 3 0 12 5 8 7 9 1 10 6 14 13 15 11

# d=32
1 7 2 3 4 12 6 15 5 9 0 11 8 13 14 10

# d=33
2 6 7 0 1 3 11 15 4 8 14 13 5 12 9 10

# d=34
12 4 1 3 9 2 15 14 5 6 0 10 13 8 11 7

# d=35
5 8 1 6 13 4 10 2 12 14 3 0 9 11 15 7

# d=36
1 5 11 3 6 10 4 0 8 9 15 7 12 14 2 13
4 1 7 10 5 0 3 2 9 8 14 6 12 15 13 11

# d=37
2 8 1 10 12 4 3 6 9 14 5 0 13 15 7 11

# d=38
0 7 2 4 1 5 3 11 13 9 6 15 8 12 10 14

# d=39
3 7 6 11 0 9 2 1 5 4 14 15 8 10 12 13

# d=40
0 8 4 2 13 9 1 7 15 14 3 6 12 5 11 10
3 2 7 4 5 14 9 6 1 15 0 8 12 13 10 11

# d=41
2 0 15 5 3 9 8 7 4 10 6 14 12 13 1 11

# d=42
1 8 3 4 9 5 10 2 14 12 11 13 6 15 7 0
4 10 6 15 13 2 7 3 1 12 0 11 5 9 8 14

# d=43
12 7 6 3 0 8 2 4 1 14 11 15 13 10 5 9
9 1 7 5 6 12 14 10 4 8 15 0 13 11 3 2

# d=44
6 3 14 8 4 9 15 1 13 12 0 7 10 5 11 2

# d=45
1 12 4 5 8 3 0 6 2 15 9 7 13 11 14 10

# d=46
8 10 14 1 4 6 11 0 12 15 9 2 13 7 5 3
3 7 11 15 5 14 13 0 2 6 1 9 4 12 8 10

# d=47
6 8 7 0 1 5 9 2 13 11 3 4 10 15 12 14
3 11 10 7 2 5 1 15 13 8 6 14 0 9 12 4

# d=48
4 1 2 5 10 13 7 0 3 11 12 14 6 15 8 9

# d=49
15 4 9 11 13 8 3 7 10 0 5 2 12 1 6 14

# d=50
11 6 5 2 7 12 15 3 9 10 4 1 8 0 13 14

# d=78
# 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0

# d=80 too hard 
#11 7 3 0 15 14 10 6 9 5 1 2 13 14 8 4
#14 15 7 6 11 0 9 5 3 13 2 8 4 1 10 12
#11 6 3 15 14 0 10 1 12 13 5 7 8 2 4 9
#5 11 2 0 12 6 14 7 4 13 10 8 14 1 9 3
#11 15 7 2 8 10 0 13 9 4 3 12 5 14 6 1
